rel,rel_ma4,rel_chg4,eff_per_video_s,log_lag,gini_s,n_channels_s,n_new_videos_s,growth_s,accel_s,eff_per_video_s_d4,log_lag_d4,n_channels_s_d4,n_new_videos_s_d4,gini_s_d4,bass_r2,log_qp,label,product
6.0,6.2142857142857135,-0.25,3.987801899997022,8.07569325206159,0.5275116267765024,38.0,0.0,-0.1580882352941177,-0.2548624288425047,0.0088280069973984,0.0295208986907269,-0.0952380952380952,-1.0,0.0494155315153324,0.8788190409359685,5.891051431205939,1,달고나커피
5.857142857142857,5.964285714285714,-0.1458333333333332,9.375026057952889,7.703851799818143,0.6428784732088174,40.0,0.6666666666666666,1.1066176470588234,1.126437466878643,0.8982353646545314,-0.0241821003062905,0.0344827586206897,0.0,0.1696650233426515,0.8788190409359685,5.891051431205939,0,달고나커피
5.0,5.714285714285714,-0.1666666666666666,9.695893266624973,7.78010300521034,0.6693808793432305,41.333333333333336,0.6666666666666666,1.6331877729257642,1.791276008219882,0.8849708340675604,-0.0215236980609038,0.1588785046728973,0.0,0.180619329808898,0.8788190409359685,5.891051431205939,1,달고나커피
5.0,5.464285714285714,-0.1666666666666666,10.230081300813008,7.840958153904297,0.6958482634728718,40.333333333333336,0.6666666666666666,0.093368237347295,-1.0132494097115283,1.0167750449610335,-0.0201044317955165,0.1203703703703704,1.0,0.2152086627663698,0.8788190409359685,5.891051431205939,1,달고나커피
5.0,5.214285714285714,-0.1666666666666666,4.973873873873874,8.261766641368304,0.596531301511494,38.66666666666666,0.3333333333333333,-0.5124378109452736,-2.1456255838710376,0.2472720557853158,0.0230411660645,0.0175438596491226,0.0,0.1308401013959717,0.8788190409359685,5.891051431205939,1,달고나커피
5.0,5.0,-0.146341463414634,4.666271534692588,8.30814470894169,0.5804119838570886,36.66666666666666,0.3333333333333333,-0.587390263367917,-0.680758500715212,-0.5022657530925833,0.0784403600725824,-0.0833333333333333,-0.5,-0.0971668704972156,0.8788190409359685,5.891051431205939,1,달고나커피
3.571428571428572,4.642857142857142,-0.2857142857142856,4.26883563725669,8.3488900711405,0.5533709643429507,37.333333333333336,0.3333333333333333,-0.173469387755102,0.3389684231901716,-0.5597274516262676,0.0731079094388909,-0.0967741935483871,-0.5,-0.1733092751530399,0.8788190409359685,5.891051431205939,1,달고나커피
3.0,4.142857142857142,-0.4,3.916329284750338,8.389829743145164,0.5487043106797048,38.333333333333336,0.0,-0.1218568665377175,0.4655333968301994,-0.617175155349049,0.0700005762647213,-0.049586776859504,-1.0,-0.2114598261103564,0.8788190409359685,5.891051431205939,1,달고나커피
3.0,3.642857142857143,-0.4,3.703296703296704,8.434952055079412,0.5401697242135395,37.0,0.0,-0.1378600823045268,0.0356093054505751,-0.2554502190437708,0.0209622737156403,-0.0431034482758619,-1.0,-0.0944821791499378,0.8788190409359685,5.891051431205939,1,달고나커피
3.0,3.1428571428571432,-0.4,3.780809229085091,8.470721868599357,0.5423182357148838,34.0,0.0,-0.1497797356828195,-0.027922869145102,-0.1897579896549741,0.0195684073103219,-0.0727272727272726,-1.0,-0.0656322564001097,0.8788190409359685,5.891051431205939,1,달고나커피
2.571428571428572,2.8928571428571432,-0.2799999999999999,3.323957836749828,8.506340073636519,0.4747599629636497,31.33333333333333,0.3333333333333333,-0.2482100238663483,-0.1103499415618215,-0.2213432141215151,0.0188587945408784,-0.1607142857142858,0.0,-0.1420584136947633,0.8788190409359685,5.891051431205939,1,달고나커피
2.0,2.6428571428571432,-0.3333333333333333,2.977926090718082,8.531748743525426,0.4390694032309847,30.0,0.3333333333333333,-0.3108808290155439,-0.1611010933327243,-0.239612945133667,0.0169155995681815,-0.2173913043478261,0.0,-0.199806900209897,0.8788190409359685,5.891051431205939,0,달고나커피
2.0,2.3928571428571432,-0.3333333333333333,3.492293906810036,8.546131943501647,0.4768386166503706,29.666666666666668,0.6666666666666666,-0.0317460317460317,0.2164639921203166,-0.0569770162619787,0.0131808560020545,-0.1981981981981981,0.0,-0.1172429788718274,0.8788190409359685,5.891051431205939,0,달고나커피
2.0,2.1428571428571432,-0.3333333333333333,3.5792929292929294,8.577589525739157,0.5103943581968354,30.33333333333333,0.3333333333333333,0.1954887218045111,0.5063695508200551,-0.0532997799100608,0.0126161216006812,-0.107843137254902,0.0,-0.0588655800518422,0.8788190409359685,5.891051431205939,0,달고나커피
2.0,2.0,-0.2222222222222224,3.61946386946387,8.608006101930696,0.5058548600646599,29.0,0.3333333333333333,0.0196721311475409,0.0514181628935727,0.088901859538323,0.0119517944749549,-0.0744680851063829,0.0,0.0654960391076426,0.8788190409359685,5.891051431205939,0,달고나커피
4.0,2.5,1.0,2.7583527583527587,8.654751709644701,0.4365879557438163,29.666666666666668,0.3333333333333333,-0.2295597484276729,-0.425048470232184,-0.0737336406869575,0.014417087260407,-0.011111111111111,0.0,-0.0056516064861455,0.8788190409359685,5.891051431205939,0,달고나커피
4.0,3.0,1.0,2.849261849261849,8.683536162899488,0.4322482625152342,29.33333333333333,0.3333333333333333,-0.1832797427652732,-0.2029518739128142,-0.1841288490336573,0.0160779426653154,-0.0112359550561798,-0.5,-0.0935124643393366,0.8788190409359685,5.891051431205939,0,달고나커피
